Decision Name,Current Owner,Decision Frequency,Decision ID,Decision Question,Decision Scope,Decision Type,Failure Mode Shape,How Painful it is if this is wrong,Notes,Observed Behavior / Evidence,Source Case(s),Where This Happens
,,,,,,,,,,,,
IS_THIS_A_PAST_CLIENT_CASE,Growth Lead,Medium = 1 out 5 SR,D1,Is this sourcing request (SR) for a repeat client case where prior preferences/constraints can be assumed?,Segment-specific,Context inference,Silent degradation,This only happens for client like Raj (back to school item),,"We did the same sourcing request for them like two years ago… we know estimated what kind of designs they want.
Target price and quantity is by us.",BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Requirement clarification, SR intake"
SHOULD_WE_AVOID_LICENSED_IP_CARTOONS,Growth Lead,High = Every SR,D4,"For cartoon-themed products, should licensed IP designs be excluded to avoid infringement or import issues?",Global,Risk guardrail,Binary catastrophic,"Sometimes it’s hard to get not IP products, as those products they dont have so many different varieties.",,"We ban licensed cartoon like Disney.
They say they can't import it.",BTDT / Hui Syuen / Lord Working Session (2026-01-21),"SR intake, Suppliers search"
SHOULD_WE_PROCEED_WITH_VAGUE_REQUIREMENTS,Growth Lead,Medium = 1 out 5 SR,D2,"When the SR lacks clear specs, do we proceed by sourcing recommendations, or do we block until the client provides more detail?",Global,Gating / readiness,Costly rework,"We can still provide initial quotation first, as some client might get insights after looking at the first quotation",,The sourcing request is very bad… they didn't give any specific specs… it just asked us to give the recommendations.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Requirement clarification, SR intake"
WHICH_THEME_KEYWORDS_TO_USE_FOR_SEARCH,Growth Lead,Low = 1 out 10 SR,D5,"When requirements are vague, which themes or styles should be used to shape initial search keywords?",Case-specific,Search shaping,Silent degradation,"If we don’t have past orders as reference, we can provide as many patterns as possible to give client reference first.",,Cartoons… not licensed… astronaut… animals… based on past experience.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Requirement clarification, Suppliers search"
WHAT_MINIMUM_INPUTS_ARE_REQUIRED_TO_SOURCE,Growth Lead,Medium = 1 out 5 SR,D3,What minimum client inputs are required to start supplier search?,Global,Gating / readiness,Latency increase,"We can already start sourcing even with a product type, just it’s hard to avoid requotation if client did not provide details.",,You need to provide the product… quantity… target price… reference image… otherwise it's hard for us to help them.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),Requirement clarification
WHICH_SUPPLIERS_ARE_CATEGORY_FOCUSED_ENOUGH,Growth Lead,High = Every SR,D7,Should we only work with suppliers focused on the target category?,Global,Partner qualification,Costly rework,"We need to always look for suppliers that are specifically selling the target category, to ensure they are professional enough.",,We check if they are only selling bags.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Initial quotation, Supplier evaluation"
MANUFACTURER_OR_RESELLER_PREFERENCE,Growth Lead,High = Every SR,D8,Should manufacturers be preferred over small retail resellers?,Global,Partner qualification,Trust erosion,"Manufacturer can do more customization method than reseller, also their price will be much lower.",,We prefer to work with manufacturers.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),Supplier evaluation
IS_FACTORY_ENVIRONMENT_ACCEPTABLE,Growth Lead,Medium = 1 out 5 SR,D9,Should factory environment be evaluated via supplier profile to assess quality risk?,Global,Partner qualification,Trust erosion,"Sometimes supplier doesn’t upload their environment images, we can only judge when doing QC.",,We look at factory environment pictures to judge quality.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),Supplier evaluation
IS_SUPPLIER_RESPONSIVE_ENOUGH,Growth Lead,High = Every SR,D10,Is supplier responsiveness sufficient to proceed?,Global,Partner qualification,Latency increase,"Only deal with responsive supplier, to avoid MIA when issues happened.",,"If they are not responsive, it's very hard when problems arise.",BTDT / Hui Syuen / Lord Working Session (2026-01-21),Supplier evaluation
SHOULD_WE_USE_DEFAULT_SIZE_ASSUMPTION_FOR_BACKPACK,Growth Lead,High = Every SR,D6,"If the client does not provide size specs, should we proceed using a common default size?",Segment-specific,Context inference,Costly rework,Depending on client target audience.,,Backpack size doesn't have much variance… 30 to 40 cm is the most common.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Bulk ordering, Initial quotation, Requotation, Sampling"
HOW_MANY_SKUS_TO_INCLUDE_IN_INITIAL_OPTIONS,Growth Lead,High = Every SR,D11,How many SKU options should be included in the initial quotation?,Segment-specific,Execution optimization,Latency increase,"For those client who open for selection, by default we should recommend 3-5SKUs/product. For those who already have specific requirements, we can just include 1.",,"For other clients, we only provide three options.",BTDT / Hui Syuen / Lord Working Session (2026-01-21),Initial quotation
SHOULD_WE_REQUIRE_THIRD_PARTY_QC_FOR_BULK_ORDERS,Growth Lead,High = Every SR,D14,Should third-party QC be required by default for bulk orders?,Global,Risk guardrail,Trust erosion,"We need to prepare QC checklist, and align with supplier on the production lead time to arrange QC in their factory.",,Every bulk order we arrange for QC.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),After-sales service
WHEN_TO_FILL_DIMENSIONS_EARLY,Growth Lead,Medium = 1 out 5 SR,D15,Should dimensions be filled as early as possible to reduce later work?,Global,Execution optimization,Costly rework,"Best if we get all exact dimensions early, but the most important is before sending out bulk quotation.",,We try to fill in as many dimensions as possible at the initial stage.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),Initial quotation
WHAT_QUESTIONS_TO_ASK_SUPPLIER_AT_OUTREACH,Growth Lead,High = Every SR,D13,What questions must be asked during initial supplier outreach?,Global,Execution optimization,Costly rework,"Basic questions like MOQ, Price, Leadtime, Dimensions and etc is a must when reaching out to supplier.",,"Ask about samples, lead time, QC, and logistics dimensions.",BTDT / Hui Syuen / Lord Working Session (2026-01-21),Supplier evaluation
SHOULD_WE_CONSOLIDATE_SKUS_PER_SUPPLIER,Growth Lead,Low = 1 out 10 SR,D12,Should more SKUs be selected from fewer suppliers to reduce operational complexity?,Global,Execution optimization,Latency increase,This only happens when client is requesting many SKU in the same category.,,Pick more SKU from the same supplier.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),Initial quotation
SHOULD_WE_PAD_LEAD_TIME_RANGE_TO_MANAGE_EXPECTATIONS,Growth Lead,Medium = 1 out 5 SR,D19,Should lead time ranges be padded to manage client expectations?,Global,Risk guardrail,Trust erosion,"ETA will be provided by Poon when our goods dispatch from China, client can check shipment status directly from the tracking info we provided. It’s not necessary to adjust the leadtime.",,We make the range longer so clients don't expect shipment too fast.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Bulk ordering, Forwarder/Logistics"
CAN_WE_TRUST_PRODUCT_PAGE_FOR_DIMENSIONS,Growth Lead,Medium = 1 out 5 SR,D16,"Can product page dimensions be trusted, or must the supplier be re-checked?",Global,Gating / readiness,Costly rework,"Category like solid items (container, tumblers and items that is not foldable), we can directly use the product dimensions on page. For foldable items, either we estimate it by ourselves or we get it from supplier.",,Sometimes the website has it; sometimes we need to ask the supplier.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Bulk ordering, Initial quotation, Requotation, Sampling"
DOES_INBOUND_SHIPPING_COST_LOOK_REASONABLE,Growth Lead,Medium = 1 out 5 SR,D17,"Does inbound shipping cost look reasonable, or does it require re-validation?",Global,Risk guardrail,Costly rework,"This is not hard, we just need to send address to supplier and ask them calculate for us.",,"If it doesn't make sense, we reach out to the supplier.",BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Bulk ordering, Initial quotation, Requotation"
WHICH_PACKAGING_TYPE_TO_USE_AND_WHEN_TO_REQUEST_CARTON_DIMS,Growth Lead,High = Every SR,D20,"Which packaging type should be used, and when should carton dimensions be requested?",Global,Execution optimization,Costly rework,"Should always request a carton dimensions from supplier, to ensure we calculate the correct logistic cost.",,Better to get carton dimensions from suppliers for accurate logistics cost.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),Bulk ordering
IS_ITEM_READY_STOCK_OR_CUSTOMIZATION_OR_HIGH_QUANTITY,Growth Lead,High = Every SR,D18,"Can default lead time be used, or must the supplier be consulted?",Segment-specific,Gating / readiness,Latency increase,We need to ask supplier for every customized products.,,Ready stock has default lead time; high quantity or customization requires confirmation.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Bulk ordering, Initial quotation, Sampling"
SHOULD_WE_TAG_ITEMS_AS_BEST_SELLER_TRENDING_OR_REORDER,Growth Lead,Low = 1 out 10 SR,D22,"Should SKUs be labeled as best seller, trending, or reorder?",Segment-specific,Context inference,Trust erosion,"This is not hard, we only need to label the reorder items correctly. The other labels will based on human judgement / from suppliers.",,"They ask us to label items as best seller, trending, or reorder.",BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Bulk ordering, Initial quotation"
SHOULD_WE_SEND_QUOTATION_PDF_AFTER_SPOTCHECK,Growth Lead,High = Every SR,D24,Should quotation PDFs be checked for completeness before sending?,Global,Risk guardrail,Trust erosion,"Not painful, just to run through the pdf once to make sure all columns are being filled. This doesnt happen often",,We check the PDF for missing columns before sending.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Bulk ordering, Initial quotation, Requotation"
HOW_TO_ESTIMATE_FOLDED_DIMENSIONS_WHEN_NOT_CARTONIZED,Growth Lead,Medium = 1 out 5 SR,D21,How should folded dimensions be estimated when items are not cartonized?,Segment-specific,Execution optimization,Costly rework,This is hard for new items as we have no idea on the dimensions (if not being provided by supplier). This will easily caused underestimate/overestimate our logistic cost.,,We estimate folded width based on experience; there is no SOP.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Bulk ordering, Initial quotation, Requotation, Sampling"
WHEN_SQ_IS_TRUSTED_VS_WORKAROUND_TO_SHEETS,Growth Lead,Low = 1 out 10 SR,D25,When does SQ become unreliable such that the team must fall back to Google Sheets?,Case-specific,Gating / readiness,Latency increase,"This struggles a lot as those existing data might be gone when we try to export to Scube, what we can do is to make a copy first before exporting to Scube.",,Too many SKUs make SQ buggy; exports fail and we use Sheets instead.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),Initial quotation
DEFAULT_QUOTATION_TERM_DDP_OR_FOB,Growth Lead,Low = 1 out 10 SR,D23,"Should quotations default to DDP or FOB, and when should exceptions apply?",Segment-specific,Gating / readiness,Trust erosion,This only happen when client has their own logistic/ the initial items are too many to quote.,,By default we quote DDP; Raj is an exception with FOB.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Forwarder/Logistics, Initial quotation"
DEFINE_MINIMUM_INPUT_SET_FOR_INITIAL_PROGRESSION,Growth Lead,High = Every SR,D2,What is the minimum set of client-provided inputs required before the system can progress meaningfully?,Global,Gating / readiness,Costly rework,"These information is good for us to start sourcing, a reference image will be a bonus is it’s provided.","Core-level gating decision
High learning value for CC","Basic inputs like product name, quantity, price, and customization are considered enough to proceed.",Kim / Lord / Idea sharing on flow (2026-01-21),Requirement clarification
DETECT_AND_FLAG_OUT_OF_SCOPE_REQUESTS_EARLY,Growth Lead,,D4,Should out-of-scope or sensitive requests be identified and flagged during intake?,Global,Risk guardrail,Trust erosion,,"Core-level risk guardrail
Applies to IP, raw materials, and category limits","Sensitive, infringing, or unsupported items are flagged early in the conversation.",Kim / Lord / Idea sharing on flow (2026-01-21),"Requirement clarification, SR intake"
REQUIRE_REFERENCE_TO_NARROW_SEARCH_SPACE,Growth Lead,Medium = 1 out 5 SR,D3,Should a concrete reference be required to sufficiently narrow the supplier search space?,Global,Search shaping,Latency increase,"This will be hard for us to do sourcing, but we can still provide initial quotation first if the client need to get some insights from us.","Core-level search gating
Abstracted from image-specific requirement","Without style, material, or reference images, searching becomes very difficult.",Kim / Lord / Idea sharing on flow (2026-01-21),Requirement clarification
ALLOW_ANONYMOUS_REQUIREMENT_EXPLORATION,Growth Lead,,D1,Should users be allowed to explore requirement intake without identity commitment?,Global,Gating / readiness,Latency increase,,"Core × TH activation gate
Retained in Core × CC Decision Backlog",Users can try requirement intake without signing in; sign-up is required only when they want to get more serious.,Kim / Lord / Idea sharing on flow (2026-01-21),SR intake
ALLOW_CONTINUATION_AFTER_OUT_OF_SCOPE_DISCLOSURE,Growth Lead,,D5,"After disclosing that a request is out-of-scope, should the interaction be allowed to continue?",Global,Gating / readiness,Trust erosion,,"Policy / Experience decision
Not prioritized for Core learning",The conversation does not stop immediately after an out-of-scope notice.,Kim / Lord / Idea sharing on flow (2026-01-21),SR intake
ROUTE_CASE_TO_HUMAN_OPERATOR,Growth Lead,,D8,When should a case be routed from system-led flow to a human Growth Lead?,Segment-specific,Gating / readiness,Latency increase,,"Core routing boundary decision
Defines system vs human responsibility",More serious or complex cases are handed off to a Growth Lead.,Kim / Lord / Idea sharing on flow (2026-01-21),"Requirement clarification, SR intake"
SELECT_SUPPLIER_SEARCH_STRATEGY,Growth Lead,High = Every SR,D9,Should supplier sourcing begin with existing trusted suppliers or with open-market search?,Global,Search shaping,Latency increase,We will always priortize existing supplier as they can be assumed as Validated supplier,"Core-level search strategy decision
Strong CC learning candidate",Existing trusted suppliers are checked first before searching the open market.,Kim / Lord / Idea sharing on flow (2026-01-21),"Supplier evaluation, Suppliers search"
DECIDE_RESOURCE_ALLOCATION_FOR_LOW_INTENT_USERS,Growth Lead,,D7,Should system or human resources be allocated to users showing low intent signals?,Segment-specific,Gating / readiness,Latency increase,,"Ops / Policy decision
Excluded from Core prioritization",Users only checking prices are intentionally deprioritized.,Kim / Lord / Idea sharing on flow (2026-01-21),"Initial quotation, SR intake"
REQUIRE_SUPPLIER_CATEGORY_SPECIALIZATION,Growth Lead,High = Every SR,D10,Should suppliers be excluded if they are not specialized in the requested category?,Global,Partner qualification,Costly rework,We only want to work with supplier who selling the specific category as they will be more professional comparing to the others.,Core partner qualification decision,Suppliers covering too many unrelated categories are avoided.,Kim / Lord / Idea sharing on flow (2026-01-21),Supplier evaluation
INFER_CUSTOMER_INTENT_LEVEL,Growth Lead,,D6,How should the system infer whether a client has high or low sourcing intent?,Global,Context inference,Silent degradation,,"Cross-system decision (TH × Core)
High leverage for routing and prioritization",Clients who ask more follow-up questions are treated as having higher intent.,Kim / Lord / Idea sharing on flow (2026-01-21),"Requirement clarification, SR intake"
ASSESS_REQUIREMENT_FEASIBILITY,Growth Lead,Medium = 1 out 5 SR,D14,"Does the client's requirement, especially pricing expectations, appear feasible?",Global,Context inference,Trust erosion,This issues always happened for Indo client as their price always unreasonable,"Top-tier Core decision
Primary CC learning target",Experienced team members can often judge unrealistic pricing immediately.,Kim / Lord / Idea sharing on flow (2026-01-21),"Requirement clarification, Suppliers search"
CLASSIFY_CUSTOMIZATION_COMPLEXITY,Growth Lead,,D11,"Is the request OEM-level modification or ODM-level creation, and does that change the sourcing path?",Segment-specific,Context inference,Costly rework,,Core routing and scope decision,OEM requests involve logo changes; ODM requests involve creating a product from scratch.,Kim / Lord / Idea sharing on flow (2026-01-21),"Requirement clarification, Supplier evaluation"
DEFINE_EXPECTED_PROGRESS_VISIBILITY,Growth Lead,Medium = 1 out 5 SR,D15,What level of progress visibility should be proactively shared with clients?,Global,Execution optimization,Trust erosion,"Supplier’s responsiveness will impact this as a responsive supplier will always update us on the status, and we can pass the info to client.","Ops / Service design decision
Excluded from Core backlog",Clients repeatedly ask for status updates when visibility is low.,Kim / Lord / Idea sharing on flow (2026-01-21),"Bulk ordering, Initial quotation, Sampling"
REQUIRE_CUSTOMIZATION_READINESS_INFORMATION,Growth Lead,,D12,What readiness information must be collected before proceeding with customization sourcing?,Segment-specific,Gating / readiness,Costly rework,,"Borderline decision vs SOP
Tracked but not Core-prioritized","Questions include logo readiness, MOQ, and extent of customization.",Kim / Lord / Idea sharing on flow (2026-01-21),"Requirement clarification, Supplier evaluation"
ESCALATE_HIGH_UNCERTAINTY_REQUESTS,Growth Lead,,D13,Should high-uncertainty requests be escalated to high-touch handling?,Segment-specific,Gating / readiness,Costly rework,,Core routing decision,ODM and complex requests require more hand-holding by Growth Leads.,Kim / Lord / Idea sharing on flow (2026-01-21),"Requirement clarification, SR intake"
INTERPRET_CLIENT_BEHAVIOR_AS_INTENT_SIGNAL,Growth Lead,Medium = 1 out 5 SR,D16,Should specific client follow-up behaviors be interpreted as indicators of high intent?,Segment-specific,Context inference,Silent degradation,"The client’s followup activity reflects their purchase intent. This can also help us to make the decision on how much efforts we should put when working on the sr, to avoid our efforts being wasted.","Closely related to D6
Core intent inference decision",Detailed follow-up questions signal stronger purchase intent.,Kim / Lord / Idea sharing on flow (2026-01-21),SR intake
REQUIRE_REQUIREMENT_NORMALIZATION_OUTPUT,Growth Lead,,D17,Should the system produce a normalized requirement summary before handoff or progression?,Global,Execution optimization,Costly rework,,"System-support / feature-enabling decision
Not a sourcing decision itself",A final summary is produced after requirement intake.,Kim / Lord / Idea sharing on flow (2026-01-21),Requirement clarification
PROCEED_WITHOUT_TARGET_PRICE_ANCHOR,Growth Lead,Medium = 1 out 5 SR,D5,"If the client provides no target price, do we proceed to sourcing/quotation anyway or must we obtain a price anchor first?",Global,Context inference,Silent degradation,"Client might not familiar with those products, they can be a new startup company. We can show current market price as an insights for them.",,Client did not mention price until after the first quotation was sent.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),"Initial quotation, Requirement clarification, SR intake"
REQUIRE_TIMELINE_AS_CONSTRAINT_INPUT,Growth Lead,Medium = 1 out 5 SR,D3,"Do we require a launch timeline constraint before proceeding, or can we proceed without it?",Segment-specific,Gating / readiness,Latency increase,"As delays during shipment is unavoidable, therefore, we need to estimate the timeline and give client a headsup on when is the date range they need to place an order.",,Syuen: they asked for the client's launch date early in the process.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),"Requirement clarification, SR intake"
TREAT_AS_NEW_CASE_OR_REUSE_PRIOR_KNOWLEDGE,Growth Lead,,D2,Do we treat this request as a new case or attempt to reuse prior supplier/category knowledge?,Case-specific,Search shaping,Costly rework,,Decision changes the starting playbook (reuse vs restart).,"Syuen: ""We treat it as a new case"" because they had not sourced similar items before.",BTDT / Hui Syuen / Lord Working Session (2026-01-22),"Requirement clarification, SR intake"
TRUST_REFERRAL_AS_QUALIFICATION_SIGNAL,Growth Lead,Medium = 1 out 5 SR,D1,Should we treat a referral (from a known client like Raj) as sufficient signal to invest effort before full qualification?,Segment-specific,Context inference,Silent degradation,"Not all, it also depends on the client attitude. We can arrange an online meeting to interview, from there, we can know how serious they are",Referral was used as seriousness signal despite substantial free work.,Client was a UK referral from Raj; Syuen indicated they treated the case as serious because it was a referral.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),SR intake
REQUIRE_REFERENCE_ARTIFACT_FOR_EXACT_MATCH,Growth Lead,Medium = 1 out 5 SR,D4,"For an exact-match-plus-customization request, is a reference image/link sufficient to begin sourcing without further clarification?",Global,Gating / readiness,Latency increase,"As requotation always happened for customized product, so we can use image search to look for the exact item first for initial stage. We can confirm the other details later after the first quote is sent.",,Client provided reference images at the first stage; Syuen said they could directly start sourcing without follow-up questions.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),"Requirement clarification, SR intake"
SELECT_EARLY_SUPPLIER_PURSUIT_SIGNAL_SET,Growth Lead,High = Every SR,D9,Which early signals determine which suppliers we pursue first and which we deprioritize?,Global,Search shaping,Latency increase,We will prefer to work with the supplier who has the highest responsiveness,"Signals are treated as a set (not a single rule like ""always pick fastest"").","Syuen emphasized faster response and better offer; later cited responsiveness, category focus, attitude as factors.",BTDT / Hui Syuen / Lord Working Session (2026-01-22),Supplier evaluation
ALLOW_SUPPLIER_WITHOUT_EXACT_PUBLIC_LISTING,Growth Lead,Medium = 1 out 5 SR,D8,"If suppliers do not show the exact item in public listings, can they still be considered based on capability confirmation via reference images?",Global,Gating / readiness,Costly rework,Supplier might not uploaded everything they sell has some might be seasonal products (just an example),,Syuen: suppliers did not post the exact item; they used a reference link and sent images to suppliers to confirm feasibility and request quotations.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),"Supplier evaluation, Suppliers search"
DEFINE_UPFRONT_VS_DEFERRED_CUSTOMIZATION_COMMITMENT,Growth Lead,Medium = 1 out 5 SR,D6,Which customization requirements are treated as committed upfront versus explicitly deferred until later stages?,Case-specific,Gating / readiness,Costly rework,"Client might think the original packaging is not ideal, so they decided to customized their own packaging after receiving samples.",,Lid logo embossing was required upfront; custom packaging was introduced only after the client reviewed samples and wanted better packaging.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),Requirement clarification
INCORPORATE_CLIENT_SOURCED_SUPPLIER_CANDIDATES,Growth Lead,Low = 1 out 10 SR,D7,Should suppliers discovered by the client be evaluated as first-class candidates or treated as informational only?,Segment-specific,Search shaping,Latency increase,"We can reach out to other suppliers while approaching to client’s recommended suppliers. From there, we can pick the best fit and proceed.",,Client shared a supplier list from other sourcing attempts; Sourcy reached out to those suppliers to negotiate but did not get a better outcome.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),Supplier evaluation
VALIDATE_CUSTOMIZATION_CAPABILITY_WITH_PRIOR_EVIDENCE,Growth Lead,High = Every SR,D10,What counts as sufficient evidence that a supplier can perform the required customization before we trust feasibility?,Global,Risk guardrail,Trust erosion,"For customization, we should encourage suppliers to shared their past orders product. This will also build trust on the client side.",,"Syuen asked suppliers to share similar prior products/images, focusing on the customization (logo) more than base jar style.",BTDT / Hui Syuen / Lord Working Session (2026-01-22),Supplier evaluation
SELECT_SUPPLIER_BY_QUALITATIVE_TRUST_FACTORS,Growth Lead,High = Every SR,D11,"Beyond price, which trust factors are required to select a supplier for a customization case?",Global,Partner qualification,Trust erosion,Price and responsiveness are the basic requirements when selecting suppliers.,,"Selection factors included responsiveness, previous images, specialization (glass-only focus), attitude, and price.",BTDT / Hui Syuen / Lord Working Session (2026-01-22),Supplier evaluation
ACCEPT_POST_SAMPLE_REQUIREMENT_EXPANSION,Growth Lead,Medium = 1 out 5 SR,D15,"After sample review, do we accept new requirements as a continuation or does it trigger a scope reset/re-approval?",Case-specific,Gating / readiness,Latency increase,"This will happen but not every time, we need to ensure client approves the mockup before proceeding. Sampling cost is always high for customized product",,Custom packaging requirement emerged after samples; led to extended back-and-forth over packaging execution.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),"Requirement clarification, Sampling"
DEFINE_PRE_SHIPMENT_SAMPLE_VERIFICATION_REQUIREMENTS,Growth Lead,High = Every SR,D13,What must be verified (and evidenced) before a sample is shipped to reduce downstream surprises?,Global,Risk guardrail,Costly rework,"Must send an actual product picture fist to client before ship out, it’s also to prevent any damages during the shipment.",,Syuen retrospective: ask supplier to take photos of completed samples before shipping to reduce back-and-forth.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),Sampling
DISCLOSE_SUPPLIER_ENVIRONMENT_RISK_OR_NOT,Growth Lead,Medium = 1 out 5 SR,D12,"When we observe poor factory/working-environment signals, do we disclose it proactively to the client or hold it unless an issue surfaces?",Segment-specific,Risk guardrail,Trust erosion,"If we realize after client proceed to samples, when we should hold it first. If we’re still at the initial stage, then perhaps we should look for alternative supplier.",,Syuen: they typically do not report environment concerns; client discovered hygiene concerns (fingerprints) after receiving samples.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),Supplier evaluation
DEFINE_CRITICAL_FIT_REQUIREMENTS_BEFORE_SAMPLE_SHIP,Growth Lead,Medium = 1 out 5 SR,D14,"Do we explicitly define critical fit requirements (e.g., accessory dimensions affecting packaging) and require supplier confirmation before sample shipment?",Global,Gating / readiness,Costly rework,Need to work with supplier to can always cooperate as we might need a lot of details of the product.,,Spoon length/orientation created packaging height implications; supplier initially provided wrong spoon/dimensions; issue surfaced at sample review.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),"Requirement clarification, Sampling"
REQUIRE_PACKAGING_PROOF_BEFORE_PRODUCTION,Growth Lead,Medium = 1 out 5 SR,D16,"For custom packaging, what proof must be validated before production (mockup, dieline/fit, dimension match, overlap checks)?",Segment-specific,Risk guardrail,Costly rework,This will caused a lot of back and forth if the customization is complex.,,"Supplier mockups had dimension mismatch and overlapping artwork; issues were raised to supplier, then returned to client for adjustment.",BTDT / Hui Syuen / Lord Working Session (2026-01-22),"Bulk ordering, Sampling"
ESCALATE_ALIGNMENT_MODE_UNDER_MISUNDERSTANDING,Growth Lead,Low = 1 out 10 SR,D20,"When misunderstandings persist with a supplier, what alignment mode is required to escalate (call vs text vs other structured alignment)?",Global,Execution optimization,Latency increase,"Best to keep all conversation in text, this will also become a proof when after sales issues happened.",,Syuen stopped calls due to misunderstanding and continued via text; still required extensive explanation.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),"Bulk ordering, Sampling, Supplier evaluation"
HANDLE_NON_STANDARD_COMPONENT_REQUIREMENTS,Growth Lead,Low = 1 out 10 SR,D17,"When a requirement breaks supplier ready-stock defaults (e.g., non-standard spoon), do we push for compliance or switch suppliers?",Case-specific,Risk guardrail,Costly rework,This will require negotiation process with supplier.,,Supplier resisted due to ready stock; ultimately sourced different component from another manufacturer and bore cost after negotiation.,BTDT / Hui Syuen / Lord Working Session (2026-01-22),Supplier evaluation
ROUTE_TO_SPECIAL_FULFILLMENT_FLOW,Growth Lead,Low = 1 out 10 SR,D19,"Should the order follow a special fulfillment pathway (e.g., Amazon China warehouse drop-off) instead of standard shipping?",Segment-specific,Gating / readiness,Binary catastrophic,"As Amazon has their strict rules, we need to spend a lot of time talking to the PIC and understand their process",,"Because client sold on Amazon, goods were dropped at an Amazon warehouse in China with registration and barcode labeling requirements.",BTDT / Hui Syuen / Lord Working Session (2026-01-22),Forwarder/Logistics
