Decision Name,Current Owner,Decision Frequency,Decision ID,Decision Question,Decision Scope,Decision Type,Failure Mode Shape,How Painful it is if this is wrong,Notes,Observed Behavior / Evidence,Source Case(s),Where This Happens
OVERRUN_COST_ALLOCATION,Growth Lead,Low = 1 out 10 SR,D6c,"When internal planning error causes overflow shipments, do we absorb the cost internally rather than passing it to the client/forwarder?",Case-specific,Execution optimization,Trust erosion,"Extra cartons can only ship by LCL, and we need to explain the situation to client on who to bear the extra freight cost.",,"""cost… absorbed by us last time.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
LATE_DOCUMENT_ESCALATION_PATH,PM,Low = 1 out 10 SR,D7d,"If tax/document requirements are raised after loading, do we attempt to solve via forwarder escalation vs pausing/rejecting?",Case-specific,Execution optimization,Latency increase,"This is very hard for us as everything has been confirmed, and we need to find an alternative way if client needs the document.",,"""very late… after loaded… insist… Kim hop on… align with forwarder… find a way to solve.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
DEFAULT_CLEARANCE_LANE,Growth Lead,High = Every SR,D7a,Do we assume the gray-area DDP approach is acceptable by default because it is cheapest?,Global,Context inference,Trust erosion,"DDP has stated in our quotation, so we always assume client is ok with DDP lane.",,"""we always assume… gray area is okay… DDP… cheapest.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
LANE_SWITCH_ON_CLIENT_REQUEST,Growth Lead,Low = 1 out 10 SR,D7c,"When a client requests legal/tax-compliant shipping (tax ID, documentation), do we switch from gray-area default to a legal flow?",Segment-specific,Gating / readiness,Latency increase,"We can switch to green lane if client mention this earlier, this is not hard if client side able to provide any required documents.",,"""they request for it… we did a legal… lots of documentations… forwarder and Kim.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
EARLY_TAX_REQUIREMENT_DISCOVERY,Growth Lead,Low = 1 out 10 SR,D7b,Do we explicitly ask early-stage whether the client needs legal/tax-compliant handling vs assuming gray-area is fine?,Segment-specific,Risk guardrail,Costly rework,"We don’t really ask this as DDP is stated in our document, so we always assume client is ok with DDP lane.",,"""very late… after loaded… only mentioned… should be asked earlier… we always assume gray area is okay.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),SR intake
TAX_COMPLIANCE_LANE_SELECTION,Growth Lead,Low = 1 out 10 SR,D7,"Do we use gray-area DDP vs legal/tax-compliant clearance, and how do we discover, switch, and handle late documentation demands (including document acceptability)?",Global,Execution optimization,Binary catastrophic,"We will only use DDP as default, unless client request to go with green lane. Green lane has more complex procedure and higher shipping cost, we need to give client a heads up on this first before confirming green lane as the shipping method.",,Default gray-area assumption conflicted with late legal/tax request; escalated to forwarder/Kim; provided documents (sometimes redacted).,BTDT / Hui Syuen / Lord Working Session (2026-01-26),"Forwarder/Logistics, SR intake"
ACCEPT_REDACTED_FORWARDER_DOCS,Growth Lead,Low = 1 out 10 SR,D7e,Do we accept forwarder-provided documents with redactions (to protect their agency) and still provide them to the client?,Case-specific,Risk guardrail,Trust erosion,"As this is the only way at that time, client can only accept this. We can encourage client to tell us their needs before placing order, so we can prepare documents based on their requirements.",,"""forwarder did cover some information… protect the agency.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
REFUND_DECISION_OWNERSHIP,PM,Low = 1 out 10 SR,D8b,Who owns the partial refund decision and process after a failure incident?,Case-specific,Risk guardrail,Trust erosion,This decision is owned by the management side.,,"""Carl… discussed with Karen… we refunded… around $9,000.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),After-sales service
INCIDENT_REMEDIATION_AND_QUALITY_GUARDRAILS,Growth Lead,Low = 1 out 10 SR,D8,"After a quality incident, how do we decide remediation (spec upgrade, refund governance, supplier switching) and prevent quality degradation during price optimization?",Global,Risk guardrail,Trust erosion,"The best way to solve this is to send samples and ask the client test first. We can send samples with different specs, and we send quotation based on the samples. Client can make their decision after checking the quality and price.",,Incident led to partial refund; spec upgraded to thicker cup; physical samples used for order 2; supplier responsibility questioned; supplier switching considered.,BTDT / Hui Syuen / Lord Working Session (2026-01-26),"After-sales service, Sampling, Supplier evaluation"
RECOVERY_SPEC_UPGRADE,Growth Lead,Low = 1 out 10 SR,D8a,"After a prior quality failure, do we upgrade product spec (e.g., thicker PP cup variant) to reduce durability risk?",Segment-specific,Risk guardrail,Trust erosion,We need to understand first the major issue and solve the problem. We can also get recommendations from supplier side.,,"""offer them… thicker version… solved the quality issues.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Requirement clarification
COUNTRY_OR_CLIENT_SPECIFIC_DOC_SET,PM,Low = 1 out 10 SR,D7f,"Do we treat certain routes/clients (e.g., Mexico or this client) as requiring a special set of documents/instructions beyond standard flows?",Segment-specific,Execution optimization,Latency increase,"Normally client will emphasize they need green lane for shipping, and we can still find a way. It was challenging if they only mention it after placing an order.",,"""only for a Mexico client… we know nothing about this… Kim handle it.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Forwarder/Logistics
FITMENT_SPEC_REQUIREMENT_FOR_EQUIPMENT_DEPENDENT_ITEMS,Growth Lead,High = Every SR,D9,"For items that must fit client equipment (e.g., sealing film), do we require fitment specs (e.g., diameter) before proceeding?",Segment-specific,Risk guardrail,Costly rework,"We need client to provide their current machine model and specs. Best if client able to specify the exact product specs, if not, we can get their machine info and check by ourselves.",,"""sealing film… other specs… diameter… make sure… fit in their sealing machine.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Requirement clarification
QUALITY_SIGNAL_REQUIREMENT_WHEN_PRICE_OPTIMIZING,Growth Lead,High = Every SR,D8e,"When negotiating for lower price, do we require explicit quality signals/spec validation (e.g., thickness) rather than assuming quality remains constant?",Global,Risk guardrail,Silent degradation,"As we become more experienced, we will know what makes the product in different pricing. We can also ask supplier on the difference of the product, and what will be the impact.",,"""discount… not much… we didn't think about the quality… we just look for the cheapest option."" + ""suppliers… normally… offer… cheapest option… unless we ask… thickness.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),"Initial quotation, Sampling"
REFUND_SCOPE_BASIS_STANDARD,Growth Lead,Medium = 1 out 5 SR,D8c,Do we base refund scope on client-reported damaged-item percentage vs full refund or independent verification?,Case-specific,Risk guardrail,Trust erosion,"We will refund based on the total percentage of damage item, along with videos/pics as proof. Instead of refund the amount to them, we can also make a credit term for their next order.",,"""asked… percentage of the damage items… 1%… 2%.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),After-sales service
CUSTOMIZATION_ITERATION_CONTROL,Growth Lead,Medium = 1 out 5 SR,D10,How do we decide whether to accept ongoing customization changes and how we control iteration during multi-party back-and-forth?,Global,Gating / readiness,Latency increase,We have no choice but to accept any small changes on the customization.,,"""clients… won't provide all requirements at first… after one changes… they want another changes."" + multi-party queue described.",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Requirement clarification
SUPPLIER_SWITCH_AFTER_INCIDENT,Growth Lead,Medium = 1 out 5 SR,D8d,"After an incident, do we continue with the same supplier vs switch to a new supplier for the recovery/reorder?",Segment-specific,Partner qualification,Trust erosion,"It depends on how the existing supplier handle the incident, if they provide a satisfied solution, we can still work with them and get a better quality product. We might get lower price from the existing supplier as we considered as reorder, a reason to negotiate for lower price.",,"They moved to a better-quality solution and questioned prior supplier responsibility: ""we don't think that they are responsible enough."" (context of switching for better quality).",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Supplier evaluation
PACKAGING_HIGH_ITERATION_RISK_TAG,Growth Lead,Medium = 1 out 5 SR,D10c,Do we classify packaging-related customization as a high-iteration/high-risk area relative to other customization types (for planning/expectation-setting)?,Global,Risk guardrail,Latency increase,Not all packaging related customization is high iteration. I would say all customization related always has the risk of high iteration.,,"""The most troublesome is the packaging one.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Requirement clarification
ALIGNMENT_ESCALATION_UNDER_ITERATION,Growth Lead,Medium = 1 out 5 SR,D10b,"During repeated change requests, do we take explicit actions to manage supplier relationship and prevent conflict while continuing iteration?",Segment-specific,Risk guardrail,Trust erosion,"We need to stand on supplier’s perspective and tell them we don’t wish to have so many back and forth, but this is not avoidable as some of the clients are always particular.",,"""comfort the supplier… if not they will just mad at us.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),"Initial quotation, Requirement clarification"
ACCEPT_CHANGE_REQUESTS_DURING_CUSTOMIZATION,Growth Lead,Medium = 1 out 5 SR,D10a,"When clients introduce incremental changes during customization, do we accept the changes and continue iteration vs requiring a scope freeze/reset?",Global,Gating / readiness,Latency increase,"This takes up some times as we need to pass the info one by one from client to supplier. Best if we ask client to provide everything and double confirm with them before we pass to supplier. Even a small changes, we will still need to queue for supplier side designer to amend.",,"""clients… won't provide all requirements at first… after one changes… they want another changes.""",BTDT / Hui Syuen / Lord Working Session (2026-01-26),Requirement clarification
INCLUDE_MULTIPLE_SHIPPING_OPTIONS_IN_QUOTE,Growth Lead,High = Every SR,D2a,"Do we include multiple shipping methods (e.g., sea vs land DDP) in the initial quotation as selectable options for the client?",Segment-specific,Execution optimization,Latency increase,"We will include all available shipping method for initial stage, and normally is sea freight for bulk order, depending on client’s need.",,"""at the first initial quotation… include… different shipping method… different shipping cost… they can make the decision."" + ""we included… CR and the land DDP.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),Initial quotation
TIME_ESTIMATE_DISCLOSURE_POLICY_FOR_SHIPPING_OPTIONS,Growth Lead,High = Every SR,D2b,"When presenting shipping options, do we proactively provide time estimates vs only providing them when asked?",Global,Risk guardrail,Silent degradation,"We dont mention the shipping duration for initial, but we will provide ETA after client placing an order.",,"""we didn't include a time estimation… if they ask then we will let them know… seaf… how many days… land… how many days.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),"Forwarder/Logistics, Initial quotation"
SHIPPING_MODE_SELECTION_AND_PRESENTATION,Growth Lead,High = Every SR,D2,"Do we decide shipping mode primarily by client preference (e.g., cheapest) and do we present multiple shipping options in the initial quotation vs a single recommended option?",Global,Execution optimization,Latency increase,"We will provide different shipping method, and sea freight as default for bulk order. Client will mention if they have any specific requirements for shipment.",,"Flower Store: ""they… want a cheaper shipping method… seaf freight is the cheapest… we just go for the seaf."" + ""initial quotation… include… different shipping method… they can make the decision.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),"Forwarder/Logistics, Initial quotation"
REORDER_REQUIREMENT_AND_PRICE_ANCHOR,Growth Lead,High = Every SR,D1,"For repeat orders, do we anchor requirements and pricing expectations to the previous order vs re-collecting a fresh baseline?",Segment-specific,Context inference,Silent degradation,"If the items are from the same category, we will take previous record as reference. If the items are from new category (client never purchased), then we can ask them for price reference.",,"Flower Store: ""what they want is just… we have the same price as their previous order."" + ""this is also a repeated order… not customization.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),"Requirement clarification, SR intake"
EXCLUDE_AIR_FROM_BULK_SHIPPING_OPTIONS_BY_DEFAULT,Growth Lead,High = Every SR,D2c,"For bulk orders, do we exclude air freight as a default option unless explicitly required by deadline constraints?",Segment-specific,Gating / readiness,Trust erosion,"Air freight always being excluded for bulk order, unless client mention they have a tight timeline and ok to pay for additional freight cost.",,"""why we didn't include the air one is because this is a bulk order… edge cases… shipping cost is really high.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),"Bulk ordering, Forwarder/Logistics"
SAMPLE_GATING_POLICY_FOR_NON_CUSTOMIZATION_AND_REPEAT,Growth Lead,Medium = 1 out 5 SR,D3,"Do we require samples before bulk, or allow skipping samples based on repeat-order context and client preference?",Global,Gating / readiness,Costly rework,"For reorder, normally we dont have to get samples again as it might drag the timeline and also we need to pay additional sample cost. ",,"Repeat order: ""because this is a repeat order… they don't have to check the sample quality."" + General: ""we will encourage them to do a sampling but if they don't want then… we can just proceed.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),Sampling
SUBSTITUTE_OR_DROP_WHEN_OOS_OR_MOQ_MISMATCH,Growth Lead,Medium = 1 out 5 SR,D6,"When an item is out of stock or a desired variant requires customization with high MOQ, do we propose substitutes vs drop the item from scope?",Segment-specific,Gating / readiness,Costly rework,"We will propose some alternative options for client to pick, the final decision will be on client’s side.",,"""out of stock… not available… we get some alternative products."" + ""pink… requires customized… MOQ… they don't want it… decided to skip the products.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),Requotation
AFTERSALES_CREDIT_POLICY_AND_EVIDENCE_REQUIREMENT,Growth Lead,Medium = 1 out 5 SR,D4,"When post-delivery defects occur, do we issue credit against a future order, and what evidence is required to validate the claim before engaging suppliers?",Global,Risk guardrail,Trust erosion,"We will ask client to record some videos of the defective items, and give a percentage of total defected products by SKU. From there, we can calculate total refundable amount and credit to their next order.",,"""some… paper box… fragile… damage… we did a credit… from their past order… they are not paying for this amount."" + ""we will ask proof… record some videos… take some pictures… report to supplier.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),After-sales service
QUOTATION_LINE_ITEM_VALIDATION_AND_CORRECTION_LOOP,Growth Lead,Medium = 1 out 5 SR,D5,"When client flags wrong items in a quotation, do we treat it as a correction loop with client-provided references and reissue the quotation?",Global,Risk guardrail,Latency increase,"We will reissue the quotation as both products have different product link, it may caused misunderstanding if we did not correct the quotation",,"""we quote for the wrong product… they… flag back… send a link… this is the correct product… we update the quotations.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),"Requirement clarification, Requotation"
PRE_QUOTE_IMAGE_CONFIRMATION_TO_AVOID_REWORK,Growth Lead,Low = 1 out 10 SR,D5a,"Before updating the quotation for ambiguous items, do we first send images for client confirmation as an approval artifact (instead of putting it directly into the quotation)?",Segment-specific,Execution optimization,Latency increase,"To avoid back and forth, the best way is to send product images first and let client confirm. But if the sourcing request only requires 1 item, then we can add all options in quotation and let client review",,"""I want to know first whether this products is correct… best way… timesaving way is to send the image… for them to pick.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),"Requirement clarification, Requotation"
AIR_ONLY_WHEN_NO_TIME_BUFFER,Growth Lead,High = Every SR,D9a,"When timeline leaves no buffer, do we treat air freight as the only viable shipping mode (no choice) to meet deadline?",Segment-specific,Gating / readiness,Binary catastrophic,"If the goods are urgent and we don’t have other option, then we will go by air freight",,"GTEX: ""they can only use the air one because it's the fastest way. So, no choice.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),Forwarder/Logistics
DESIGN_FILE_FORMAT_HANDOFF_VIA_SUPPLIER_RENDER,Growth Lead,High = Every SR,D9b,"When original design file formats are not directly workable on our side, do we hand off files to supplier for rendering/screenshots to run client approval loops?",Segment-specific,Execution optimization,Latency increase,"As some design application requires special laptop model, so we can only pass to supplier side, ask them to screenshot and get confirmation from client side.",,"""laptop… unable to open AI file… we can see only the PDF… for the AI file we need to… send to the supplier… ask the supplier to screenshot… confirm with the client.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),"Bulk ordering, Initial quotation, Sampling"
TIGHT_DEADLINE_SUPPLIER_FEASIBILITY_GATING,Growth Lead,High = Every SR,D9,"When client has a hard deadline (event/launch), do we gate supplier selection primarily on feasibility to meet timeline (even if it constrains options like samples and shipping mode)?",Segment-specific,Gating / readiness,Binary catastrophic,"When timeline is tight, the first question we ask when selecting supplier will be the production lead time for the required quantity.",,"GTEX tissue box: ""timeline is quite tight… receive… April 9… need it by April 20… only five to six days… really hard to find… deal with the supplier… shortest timeline.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),Supplier evaluation
SUPPLIER_PRICE_NEGOTIATION_POLICY_FOR_REORDER,Growth Lead,High = Every SR,D7,"On repeat orders, do we attempt supplier price negotiation regardless of client price sensitivity, and do we accept supplier refusal (page price is best) as final?",Segment-specific,Execution optimization,Latency increase,"We will always try to negotiate for cheap price if the order is reorder, we don’t look for new supplier even though the existing supplier could not lower down the price. The reason is because we don’t want to take the risk of getting different quality of product from the other supplier.",,"""if it's a repeated order then we will try to negotiate… since this one is a reorder… but it depends."" + ""supplier… didn't give any discount… price on the product page is already the best price.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),Supplier evaluation
LOGISTICS_COST_ESTIMATION_UNDER_DIMENSION_UNCERTAINTY,Growth Lead,Medium = 1 out 5 SR,D8,"When product dimensions are uncertain (e.g., puffy/airtight packed items), do we re-quote logistics upon corrected dimensions, and do we rely on prior-order dimensions as reference for repeats?",Global,Risk guardrail,Trust erosion,We can take previous record as reference.,,"""why did the logistic price increase… miscalculation in the dimensions… sent a new quotation with the updated dimensions."" + ""for those… puffy products… hard to get exact dimensions."" + ""for repeated order… refer back to their previous quotation… check back the dimensions.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),"Forwarder/Logistics, Initial quotation"
ACCEPT_QUANTITY_AMENDMENT_DUE_TO_TOTAL_PRICE,Growth Lead,Medium = 1 out 5 SR,D10a,"When total price is higher than client expectation, do we accept quantity amendments as the primary adjustment lever?",Segment-specific,Execution optimization,Latency increase,"This case is due to a price exchange arrangement with GITEX, so the total price needs to match the value of the booth they sponsored. For other case, we will negotiate for lower unit price with higher quantity.",,"GTEX other SRs: ""they did amend about the quantity is because of the total price.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),"Initial quotation, Requirement clarification"
SPLIT_SPONSORSHIP_FUNDED_SR_FROM_CLIENT_PAID_SR,Growth Lead,Low = 1 out 10 SR,D10b,"When part of the sourcing is sponsored by Sourcy (e.g., booth sponsorship), do we separate sourcing requests into funded vs client-paid tracks?",Case-specific,Execution optimization,Trust erosion,We need to separate the sourcing request for easier tracking in the future.,,"""separate the sours request… one… sponsored by us because they give us a booth… in the event.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),SR intake
CLIENT_PROCUREMENT_PAYMENT_PROCESS_OVERRIDE,Growth Lead,Low = 1 out 10 SR,D10,"When client requires a formal procurement/payment workflow (portal upload, official documents), do we adapt our payment process vs the usual WhatsApp proforma + client finance handoff?",Segment-specific,Risk guardrail,Latency increase,"We need to follow client’s preference when asking for payment ",,"GTEX: ""required the official… go into their website… upload the prof invoice… wait for their payment… really hard."" + Contrast: ""other one we just send the profform invoice on WhatsApp… send to their finance.""",BTDT / Hui Syuen / Lord Working Session (2026-01-27),Bulk ordering
SUPPLIER_SELECTION_BY_DOCUMENT_COMPLETENESS,Growth Lead,,D5,"When sourcing regulated goods, do we prioritize supplier selection by document completeness (in addition to price)?",Segment-specific,Partner qualification,Binary catastrophic,,Decision Layer: Core Decision Candidate; Category-specific,"""The difficult step… get cheaper price… and find supplier that has complete documents… COA, halal… FDA…""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),"Supplier evaluation, Suppliers search"
PROCEED_WITHOUT_TARGET_PRICE_ANCHOR,Growth Lead,,D1,"If the client does not provide a target price upfront, do we proceed with sourcing and quotation or pause until a price anchor is clarified?",Global,Gating / readiness,Costly rework,,Decision Layer: Core Decision Candidate,"""In the beginning no… they just give me the specification… picture… want the same exact item.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),"Requirement clarification, SR intake"
ACCEPT_NON_STANDARD_IMPORT_PATHWAY,Growth Lead,,D3,"Do we accept and operate under a non-standard import pathway (e.g., grey lane) if the client confirms it is acceptable?",Segment-specific,Risk guardrail,Binary catastrophic,,Decision Layer: Core Decision Candidate; Market-specific (Indonesia),"""They told me… no documents… because they are using grey lane… not green lane.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),Forwarder/Logistics
INTERNAL_APPROVAL_FOR_NEW_GOODS_CATEGORY,Growth Lead,,D4,"When handling a new goods category (e.g., first-time food import), do we require internal approval before proceeding?",Global,Gating / readiness,Binary catastrophic,,Decision Layer: Core Decision Candidate,"""I asked Kim… if we handle this kind of project… first time to import a food product… Kim said… we can try.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),SR intake
CONTINUE_PROJECT_AFTER_LANDED_PRICE_MISMATCH,Growth Lead,,D2,"When our landed unit price becomes higher than the client's local alternative, do we continue the project or disengage?",Case-specific,Gating / readiness,Costly rework,,Decision Layer: Decision Evidence (CC-learning),"""When we added the delivery cost… the final unit price becomes higher… so we didn't continue… at that time.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),Initial quotation
CONTINUE_NEGOTIATION_AFTER_MEETING_TARGET_PRICE,Growth Lead,,D7,"If the client continues to negotiate even after we meet their target price, do we keep negotiating or hold the line?",Segment-specific,Risk guardrail,Silent degradation,,Decision Layer: Decision Evidence (CC-learning); Market-specific,"""I already provided the price based on their target… they still negotiate again… almost… three times… 'this is the best price'.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),Initial quotation
ALLOW_CLIENT_MANAGED_LAST_MILE_PICKUP,Growth Lead,,D10,"To reduce total cost, do we allow the client to manage last-mile pickup (instead of full door-to-door)?",Case-specific,Execution optimization,Trust erosion,,Decision Layer: Decision Evidence (CC-learning),"""Initial quotation… door to door… to reduce cost… client arrange the truck by themselves… pick up in Jakarta warehouse.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),Forwarder/Logistics
REQUIRE_SAMPLE_BEFORE_BULK_ORDER,Growth Lead,,D6,Do we require a successful sample before proceeding to bulk for a first-time category / new supplier?,Segment-specific,Gating / readiness,Costly rework,,Decision Layer: Core Decision Candidate; Category-specific,"""We ordered the sample first… send it to the client… client satisfied… then continue to bulk order.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),"Bulk ordering, Sampling"
PROCEED_WITH_FORWARDER_WITHOUT_CATEGORY_EXPERIENCE,Growth Lead,,D9,Do we proceed with a forwarder even if they lack prior experience handling this product category?,Case-specific,Risk guardrail,Binary catastrophic,,Decision Layer: Core Decision Candidate,"""We actually took a risk… they never handled this kind of product before.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),Forwarder/Logistics
REDUCE_MARGIN_FOR_LONG_TERM_REORDER_POTENTIAL,Growth Lead,,D8,Do we intentionally reduce margin to secure long-term recurring reorders for this client?,Case-specific,Execution optimization,Silent degradation,,Decision Layer: Strategy / Policy,"""Margin… only 4%… consideration… want reorder every month or quarter… keep them as an option.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),Initial quotation
DEDUCT_COMPENSATION_FROM_OUTSTANDING_BALANCE,Growth Lead,,D14,"If payment is partially outstanding when damage is confirmed, do we deduct compensation from the remaining balance?",Case-specific,Risk guardrail,Trust erosion,,Decision Layer: Decision Evidence (CC-learning),"""Paid 30%… remaining 70%… we decided… deduct from the remaining payment.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),After-sales service
SEEK_FORWARDER_COMPENSATION_VIA_FUTURE_DISCOUNT,Growth Lead,,D15,"After logistics failure, do we seek forwarder compensation via future discounts rather than direct refund/claim resolution?",Case-specific,Execution optimization,Silent degradation,,Decision Layer: Decision Evidence (CC-learning),"""Carl… asked Pun to negotiate with Bifundi… discount for next order… discount for Armada brands shipment.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),Forwarder/Logistics
PROCEED_WITH_OVERLAPPING_BATCH_DELIVERY,Growth Lead,,D11,"When shipment delays cause multiple batches to arrive together (against expectation), do we proceed with delivery as-is or intervene to stage it?",Case-specific,Execution optimization,Costly rework,,Decision Layer: Decision Evidence (CC-learning),"""Expectation… receive batch two first… then batch three… actual… received batch two and batch three at the same time… no storage space.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),Forwarder/Logistics
ATTRIBUTE_DAMAGE_PRIMARY_CAUSE_TO_LOGISTICS_DELAY,Growth Lead,,D12,"When product damage occurs, do we attribute the primary cause to logistics delay/holding time vs supplier quality or other factors?",Case-specific,Context inference,Silent degradation,,Decision Layer: Decision Evidence (CC-learning),"""We assume… because we hold the garlic… in warehouse… two weeks… shipment… took… 30 days… impacted quality.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),After-sales service
SPLIT_LOSS_WHEN_SUPPLIER_REPLACEMENT_INCOMPLETE,Growth Lead,,D13,"When damage exceeds the supplier's replacement capacity, do we absorb the remaining loss to resolve the issue?",Case-specific,Risk guardrail,Silent degradation,,Decision Layer: Decision Evidence (CC-learning),"""We ask for replacement… supplier only able to provide 200kg… remaining… we need to cover… reduce the payment.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),After-sales service
LOCK_MINIMUM_ORDER_FOR_COMPLIANT_FCL_FLOW,Growth Lead,,D18,"When moving to compliant FCL green lane, do we enforce a minimum order size as a prerequisite for the lane?",Case-specific,Gating / readiness,Trust erosion,,Decision Layer: Strategy / Policy,"""For one full container… minimum order must be 20 tons… client agreed.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),SR intake
FRONT_REGISTRATION_COST_FOR_STRATEGIC_CLIENT,Growth Lead,,D17,Do we front registration costs required for compliant import to enable a strategic client transition?,Case-specific,Execution optimization,Costly rework,,Decision Layer: Strategy / Policy,"""Me and Kim decided to cover the registration fee… client do the registration… documents completed… pass to forwarder.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),SR intake
TRANSITION_FROM_GREY_LANE_TO_GREEN_LANE,Growth Lead,,D16,"After repeated risk exposure, do we transition the client from grey lane to compliant green lane shipping?",Segment-specific,Risk guardrail,Binary catastrophic,,Decision Layer: Core Decision Candidate; Market-specific (Indonesia),"""We decided… help you import legally… support… documents… shipment… using FCL green lane.""",BTDT / Hui Syuen / Lord / Des Black Garlic (2026-01-28),Forwarder/Logistics